# MALIN ca.umontreal.iro.evolution.malin.ui.introns.RateModelDisplay
#tree (((((((Dermatophagoides:0.24, Psovi:0.294):0.251, Sarcoptes:0.329):0.148, (Blomia:0.222, Tyrophagus:0.385):0.176):0.256, (Oppia:0.418, Hypochthonius:0.32):0.038):0.066, ((((Panoychus:0.251, Tetranychus:11.626):0.054, Brevipalpus:0.363):0.24, (Dinothrombium:0.272, Leptotrombium:0.341):0.15):0.01, (Halotydeus:0.333, bycatch:1.354):0.237):0.077):0.005, ((((RARGMITE:0.236, Aculops:0.453):0.068, Aculus:0.553):0.247, Floracarus:0.85):0.759, (Setoptus:0.322, Fragariocoptes:1.021):0.0):1.535):1.848, (((Varroa:0.118, Stratiolaelaps:0.237):0.059, Dermanyssus:0.338):0.006, Galendromus:0.165):0.52);
# p(gain)	p(loss)	// node info
0.006335733401018995	0.23207638488576698	// ca.umontreal.iro.evolution.introns.NodeWithRates[$10_Dinothrombium len 1.0 prnt $32_noname chld []; gain 0.007237615056508493, loss 0.2651120921911171, p01 0.006335733401018995, p10 0.23207638488576698]
0.006293176133944981	0.28231268829785716	// ca.umontreal.iro.evolution.introns.NodeWithRates[$11_Leptotrombium len 1.0 prnt $32_noname chld []; gain 0.00742537529234953, loss 0.33310328771770714, p01 0.006293176133944981, p10 0.28231268829785716]
0.0011361279727959486	0.13786852619146983	// ca.umontreal.iro.evolution.introns.NodeWithRates[$32_noname len 1.0 prnt $33_noname chld [$10_Dinothrombium, $11_Leptotrombium]; gain 0.0012232679173097435, loss 0.1484429121851162, p01 0.0011361279727959486, p10 0.13786852619146983]
0.0013805408091219495	0.00867977220143934	// ca.umontreal.iro.evolution.introns.NodeWithRates[$33_noname len 1.0 prnt $35_noname chld [$31_noname, $32_noname]; gain 0.0013875320745218656, loss 0.008723727867704376, p01 0.0013805408091219495, p10 0.00867977220143934]
0.007062232719186642	0.276197250284277	// ca.umontreal.iro.evolution.introns.NodeWithRates[$12_Halotydeus len 1.0 prnt $34_noname chld []; gain 0.008303396876061435, loss 0.32473800798954017, p01 0.007062232719186642, p10 0.276197250284277]
0.004996959480192001	0.7369118375545257	// ca.umontreal.iro.evolution.introns.NodeWithRates[$13_bycatch len 1.0 prnt $34_noname chld []; gain 0.009122540535774671, loss 1.3453197161256663, p01 0.004996959480192001, p10 0.7369118375545257]
4.5330029828340255E-4	0.21044216121373904	// ca.umontreal.iro.evolution.introns.NodeWithRates[$34_noname len 1.0 prnt $35_noname chld [$12_Halotydeus, $13_bycatch]; gain 5.091010903564417E-4, loss 0.2363473709075285, p01 4.5330029828340255E-4, p10 0.21044216121373904]
0.001246351302798451	0.07324615950540792	// ca.umontreal.iro.evolution.introns.NodeWithRates[$35_noname len 1.0 prnt $36_noname chld [$33_noname, $34_noname]; gain 0.0012952155974612634, loss 0.07611783935438418, p01 0.001246351302798451, p10 0.07324615950540792]
0.005333573314904583	9.974873221041424E-7	// ca.umontreal.iro.evolution.introns.NodeWithRates[$36_noname len 1.0 prnt $42_noname chld [$29_noname, $35_noname]; gain 0.005347850274078944, loss 1.000157405542374E-6, p01 0.005333573314904583, p10 9.974873221041424E-7]
0.0010055438718578904	0.2095232547584951	// ca.umontreal.iro.evolution.introns.NodeWithRates[$14_RARGMITE len 1.0 prnt $37_noname chld []; gain 0.0011290733195493713, loss 0.23526284968140687, p01 0.0010055438718578904, p10 0.2095232547584951]
5.539622951369739E-4	0.3634477701176768	// ca.umontreal.iro.evolution.introns.NodeWithRates[$15_Aculops len 1.0 prnt $37_noname chld []; gain 6.887353644326762E-4, loss 0.45187070420081066, p01 5.539622951369739E-4, p10 0.3634477701176768]
3.7268068719710908E-6	0.06591604157788089	// ca.umontreal.iro.evolution.introns.NodeWithRates[$37_noname len 1.0 prnt $38_noname chld [$14_RARGMITE, $15_Aculops]; gain 3.855321948860834E-6, loss 0.06818908803364436, p01 3.7268068719710908E-6, p10 0.06591604157788089]
8.319096848865531E-4	0.42371560558803256	// ca.umontreal.iro.evolution.introns.NodeWithRates[$16_Aculus len 1.0 prnt $38_noname chld []; gain 0.0010828284829723005, loss 0.5515157892087129, p01 8.319096848865531E-4, p10 0.42371560558803256]
6.690619193496986E-5	0.21850649736472372	// ca.umontreal.iro.evolution.introns.NodeWithRates[$38_noname len 1.0 prnt $39_noname chld [$37_noname, $16_Aculus]; gain 7.549567097104783E-5, loss 0.24655856435704857, p01 6.690619193496986E-5, p10 0.21850649736472372]
9.040271625502068E-4	0.571653345419908	// ca.umontreal.iro.evolution.introns.NodeWithRates[$17_Floracarus len 1.0 prnt $39_noname chld []; gain 0.0013419869310118818, loss 0.8485932175518368, p01 9.040271625502068E-4, p10 0.571653345419908]
1.3796493688470773E-5	0.5320270699762423	// ca.umontreal.iro.evolution.introns.NodeWithRates[$39_noname len 1.0 prnt $41_noname chld [$38_noname, $17_Floracarus]; gain 1.9691537837045643E-5, loss 0.7593546168563449, p01 1.3796493688470773E-5, p10 0.5320270699762423]
0.0026007570441712625	0.27273187237769936	// ca.umontreal.iro.evolution.introns.NodeWithRates[$18_Setoptus len 1.0 prnt $40_noname chld []; gain 0.0030419728187152982, loss 0.31900055579188435, p01 0.0026007570441712625, p10 0.27273187237769936]
0.002623436493097625	0.6370411545361137	// ca.umontreal.iro.evolution.introns.NodeWithRates[$19_Fragariocoptes len 1.0 prnt $40_noname chld []; gain 0.004186247148539283, loss 1.0165337425531267, p01 0.002623436493097625, p10 0.6370411545361137]
1.617095242976152E-4	1.0000531359731848E-6	// ca.umontreal.iro.evolution.introns.NodeWithRates[$40_noname len 1.0 prnt $41_noname chld [$18_Setoptus, $19_Fragariocoptes]; gain 1.6172268156901468E-4, loss 1.0001345039111797E-6, p01 1.617095242976152E-4, p10 1.0000531359731848E-6]
7.40670423505658E-4	0.7837948660510425	// ca.umontreal.iro.evolution.introns.NodeWithRates[$41_noname len 1.0 prnt $42_noname chld [$39_noname, $40_noname]; gain 0.0014491363248401912, loss 1.533510149145494, p01 7.40670423505658E-4, p10 0.7837948660510425]
0.006736225049391353	0.835716693695722	// ca.umontreal.iro.evolution.introns.NodeWithRates[$42_noname len 1.0 prnt $46_noname chld [$36_noname, $41_noname]; gain 0.014776792876401231, loss 1.833254143907846, p01 0.006736225049391353, p10 0.835716693695722]
0.01107564205310746	0.10031355310364487	// ca.umontreal.iro.evolution.introns.NodeWithRates[$20_Varroa len 1.0 prnt $43_noname chld []; gain 0.011742505522155052, loss 0.10635342363164003, p01 0.01107564205310746, p10 0.10031355310364487]
0.01360940098282823	0.19707229065905207	// ca.umontreal.iro.evolution.introns.NodeWithRates[$21_Stratiolaelaps len 1.0 prnt $43_noname chld []; gain 0.015282715670504463, loss 0.22130289117628826, p01 0.01360940098282823, p10 0.19707229065905207]
0.0017189374925587649	0.055499711797056706	// ca.umontreal.iro.evolution.introns.NodeWithRates[$43_noname len 1.0 prnt $44_noname chld [$20_Varroa, $21_Stratiolaelaps]; gain 0.0017700754250763347, loss 0.05715081343915173, p01 0.0017189374925587649, p10 0.055499711797056706]
0.015404093848102776	0.27114679605000136	// ca.umontreal.iro.evolution.introns.NodeWithRates[$22_Dermanyssus len 1.0 prnt $44_noname chld []; gain 0.018150711265299557, loss 0.3194934576577376, p01 0.015404093848102776, p10 0.27114679605000136]
0.005792455296962484	9.97200342703694E-7	// ca.umontreal.iro.evolution.introns.NodeWithRates[$44_noname len 1.0 prnt $45_noname chld [$43_noname, $22_Dermanyssus]; gain 0.0058092995433326, loss 1.0001001645221945E-6, p01 0.005792455296962484, p10 9.97200342703694E-7]
0.013068217611744953	0.13935996906345294	// ca.umontreal.iro.evolution.introns.NodeWithRates[$23_Galendromus len 1.0 prnt $45_noname chld []; gain 0.014178598182146486, loss 0.1512011096487416, p01 0.013068217611744953, p10 0.13935996906345294]
8.075427843528151E-5	0.4051576561483956	// ca.umontreal.iro.evolution.introns.NodeWithRates[$45_noname len 1.0 prnt $46_noname chld [$44_noname, $23_Galendromus]; gain 1.0354272802687562E-4, loss 0.519491100799079, p01 8.075427843528151E-5, p10 0.4051576561483956]
#class	id	losslevel	gainlevel	prob	root	loss	gain
|class	0	0	0	1.0	0.03772728227466824	1.0	1.0

